client_code,Кредитная карта,Премиальная карта,Карта для путешествий,Депозит Сберегательный (защита KDIF),Депозит Накопительный,Депозит Мультивалютный (KZT/USD/RUB/EUR),Обмен валют,Инвестиции,Кредит наличными,best_product,best_benefit_kzt
1,20700.0,15750.45771666667,4879.51084,0.0,358.99162499999994,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
2,20700.0,27155.375896666672,3327.994552,0.0,0.0,17150.668875,0.0,0.0,0.0,Премиальная карта,27155.375896666672
3,12899.999999999998,9693.04905,1519.4997680000001,0.0,0.0,228.79549999999998,1.100838666666667,0.0,0.0,Кредитная карта,12899.999999999998
4,20700.0,14815.470850000002,4667.3537240000005,0.0,322.985125,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
5,20700.0,26236.962603333326,4871.221368,0.0,0.0,14534.829,0.0,0.0,0.0,Премиальная карта,26236.962603333326
6,20700.0,15657.563600000001,4465.114532000001,0.0,511.22487499999994,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
7,20700.0,31658.543280000005,1786.791996,0.0,0.0,43945.842375,0.0,0.0,0.0,Депозит Мультивалютный (KZT/USD/RUB/EUR),43945.842375
8,20700.0,35733.960753333326,1790.0230600000002,0.0,0.0,11510.132625,0.0,0.0,0.0,Премиальная карта,35733.960753333326
9,20700.0,32437.097053333324,1696.926784,0.0,0.0,33540.4575,0.0,0.0,0.0,Депозит Мультивалютный (KZT/USD/RUB/EUR),33540.4575
10,20700.0,33670.64857333334,1511.91398,0.0,0.0,13890.909375000001,0.0,0.0,0.0,Премиальная карта,33670.64857333334
11,20700.0,33303.41126333333,1743.807384,0.0,0.0,35132.470499999996,0.0,0.0,0.0,Депозит Мультивалютный (KZT/USD/RUB/EUR),35132.470499999996
12,20700.0,19754.143733333334,2036.6115200000002,0.0,6580.106500000001,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
13,12899.999999999998,9188.4988,1841.9165440000002,0.0,0.0,196.01824999999997,0.0,0.0,1.0,Кредитная карта,12899.999999999998
14,20700.0,12427.947100000001,1277.6870719999997,0.0,222.36687499999996,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
15,20700.0,13400.917516666666,1479.3023800000003,0.0,623.0147499999999,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
16,12899.999999999998,9217.264166666666,2259.3511800000006,0.0,0.0,169.03375,0.0,0.0,1.0,Кредитная карта,12899.999999999998
17,20700.0,13097.153933333335,1393.840608,0.0,345.36325,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
18,20700.0,12871.407683333335,1309.662225,0.0,380.09487499999994,0.0,0.0,0.0,0.0,Кредитная карта,20700.0
19,20700.0,13592.561566666667,1706.9546040000002,0.0,310.58124999999995,0.0,18773.150423999996,0.0,1.0,Кредитная карта,20700.0
20,20700.0,13008.188316666667,2052.77862,0.0,548.370625,0.0,16712.451336000002,0.0,0.0,Кредитная карта,20700.0
21,20700.0,22780.65588,1887.8853720000002,0.0,20903.714625,0.0,18824.322925333337,0.0,0.0,Премиальная карта,22780.65588
22,20700.0,12758.344949999999,2095.9406160000003,0.0,300.21175,0.0,16473.47156,0.0,1.0,Кредитная карта,20700.0
23,20700.0,13243.582116666668,2017.5166719999997,0.0,567.2573749999999,0.0,20137.25752266667,0.0,0.0,Кредитная карта,20700.0
24,20700.0,13917.183733333335,1974.2943319999995,0.0,0.0,194.97062499999998,18526.047754666666,0.0,1.0,Кредитная карта,20700.0
25,20700.0,13772.869716666666,2366.7242080000005,0.0,215.58175000000003,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
26,20700.0,15106.2124,5536.3339240000005,0.0,527.9609999999999,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
27,20700.0,15419.139133333332,4222.046164,0.0,0.0,256.86025,0.0,0.0,1.0,Кредитная карта,20700.0
28,20700.0,14239.833283333333,4249.725743999999,0.0,0.0,544.7686249999999,0.0,0.0,1.0,Кредитная карта,20700.0
29,20700.0,14777.933433333335,4489.471848,0.0,0.0,320.765375,0.0,0.0,1.0,Кредитная карта,20700.0
30,20700.0,15258.030083333335,4781.201648000001,0.0,405.14287499999995,0.0,0.0,0.0,1.0,Кредитная карта,20700.0
31,20700.0,25478.510303333333,2240.4481560000004,0.0,15157.233,0.0,0.0,0.0,0.0,Премиальная карта,25478.510303333333
32,20700.0,30772.229256666666,2277.4407,0.0,26936.985,0.0,0.0,0.0,0.0,Премиальная карта,30772.229256666666
